Company Name|Stock Name|Filing Time|New Product|Product Description
The Coca-Cola Company|KO|2022-03-01|Coca-Cola Starlight|A space-inspired flavor with a reddish hue.
The Coca-Cola Company|KO|2022-04-01|Coca-Cola Dreamworld|A dream-inspired flavor offering a unique taste experience.
The Coca-Cola Company|KO|2022-05-01|Marshmello's Coca-Cola|A collaboration flavor featuring strawberry and watermelon notes.
The Coca-Cola Company|KO|2025-02-10|Coca-Cola Orange Cream|A nostalgic blend of cola with orange and vanilla flavors.
The Coca-Cola Company|KO|2025-02-15|Simply Pop Prebiotic Sodas|Sodas infused with prebiotic fiber, available in various fruit flavors.
The Coca-Cola Company|KO|2023-09-01|Coca-Cola Zero Sugar Y3000|A futuristic flavor co-created with artificial intelligence.
The Coca-Cola Company|KO|2023-03-01|Jack Daniel's & Coca-Cola Cherry|A ready-to-drink mix of Jack Daniel's Whiskey and Coca-Cola Cherry.
The Coca-Cola Company|KO|2024-02-01|Coca-Cola Spiced|A variant combining classic Coke taste with raspberry and spiced flavors.
The Coca-Cola Company|KO|2024-02-10|Coca-Cola Happy Tears Zero Sugar|A flavor with a salty splash of minerals and a sweet pinch of peach.
The Coca-Cola Company|KO|2024-02-20|Coca-Cola K-Wave Zero Sugar|A flavor celebrating K-pop culture with a fruity fantasy taste.
Dow Inc.|DOW|2025-02-19|EcoPure™|A sustainable chemical that breaks down plastic waste in landfills.
Dow Inc.|DOW|2025-02-19|DOWTHERM™ A|A high-performance thermal fluid for heating and cooling in industrial applications.
Dow Inc.|DOW|2025-02-19|DOWSIL™ 983 Structural Glazing Sealant|A new adhesive sealant designed for use in building facades.
Dow Inc.|DOW|2025-02-19|Rohm and Haas™ PVD Coatings|Specialized coatings for electronic and semiconductor manufacturing.
Dow Inc.|DOW|2025-02-19|EcoFlex™|A biodegradable plastic resin for packaging applications.
Dow Inc.|DOW|2025-02-19|Hivol™ 8000|A high-density polyethylene used in high-performance packaging materials.
Dow Inc.|DOW|2025-02-19|Betaforce™ E-Series|A new series of advanced chemical intermediates for the automotive industry.
Dow Inc.|DOW|2025-02-19|SolarMax™ 5000|A series of solar panel adhesives that improve efficiency and durability.
Dow Inc.|DOW|2025-02-19|PlatinumPlus™|A new line of automotive coatings designed to increase corrosion resistance.
Dow Inc.|DOW|2025-02-19|Celsius™ Energy Efficiency Products|A suite of chemicals designed to improve the energy efficiency of buildings and HVAC systems.
Goldman Sachs|GS|2021-01-01|Marcus App in the UK|Launched in 2021, Goldman Sachs expanded its digital banking platform, Marcus, to the UK, offering personal loans and savings accounts.
Goldman Sachs|GS|2021-02-01|Apple Card Family Plan|Introduced in 2021, this feature allows Apple Card users to share their credit line with family members, promoting financial flexibility and management.
Goldman Sachs|GS|2022-01-01|My GM Rewards Card|Launched in January 2022, this co-branded credit card with General Motors offers rewards for purchases, enhancing customer engagement in the automotive sector.
Goldman Sachs|GS|2021-08-01|Acquisition of NN Investment Partners|Announced in August 2021, Goldman Sachs acquired NN Investment Partners, expanding its asset management capabilities in Europe.
Goldman Sachs|GS|2021-09-01|Acquisition of GreenSky|In September 2021, Goldman Sachs agreed to acquire GreenSky, a fintech platform specializing in home improvement consumer loans, aiming to enhance its consumer lending services.
Goldman Sachs|GS|2025-02-01|Active ETFs in Europe|In February 2025, Goldman Sachs Asset Management launched active exchange-traded funds (ETFs) in Europe, including investment-grade and high-yield bond ETFs, diversifying its investment offerings.
Goldman Sachs|GS|2024-12-01|Partnership with GeoWealth|In late 2024, Goldman Sachs partnered with GeoWealth to provide registered investment advisors with tools for personalized and efficient investment solutions, utilizing unified managed accounts.
Goldman Sachs|GS|2025-01-15|Expansion of Private Wealth Management|In early 2025, Goldman Sachs expanded its private wealth management services in the UK, Switzerland, the Middle East, and Germany by hiring additional private wealth advisers, aiming to cater to high-net-worth clients.
Goldman Sachs|GS|2021-11-01|Launch of Financial Cloud Data Platform|In November 2021, Goldman Sachs introduced its Financial Cloud Data platform at AWS re:Invent, offering data and analytics tools in the cloud to assist developers in building data-driven applications.
Goldman Sachs|GS|2023-12-01|Introduction of AI-Driven Financial Tools|In 2023, Goldman Sachs began integrating generative AI tools to enhance productivity, automate processes, and improve efficiency in various financial services, including drafting IPO filings and performing analyst research.
The Home Depot|HD|2021-10-05|Milwaukee M18 FUEL Cordless Framing Nailer|A cordless framing nailer that delivers pneumatic performance without the need for a compressor, hose, or gas cartridge.
The Home Depot|HD|2021-10-05|Hubspace – Powered by Afero|A smart home platform offering easy-to-setup products like lighting, fans, and outlets, controllable via a smartphone app without requiring a hub.
The Home Depot|HD|2021-10-05|Pergo Defense+ Flooring|Waterproof and antimicrobial flooring that inhibits the growth of microbes, keeping homes cleaner for longer.
The Home Depot|HD|2021-10-05|Feit White Filament LED Bulbs|LED bulbs with a timeless look, featuring lower-profile white filaments to blend seamlessly into any décor.
The Home Depot|HD|2021-10-05|Glacier Bay Marcie Single Handle Integrated Pull Down Touchless Kitchen Faucet|A modern kitchen faucet with touchless activation and an integrated pull-down sprayer for enhanced convenience.
The Home Depot|HD|2024-01-08|Hubspace Smart Home Security Kit|A DIY home monitoring system including a keypad, contact and motion sensors, and a siren, all controllable via the Hubspace app.
The Home Depot|HD|2024-09-30|Feather River Smart Glass Front Door|A front door with a smart glass window that transitions from clear to opaque, controllable via the Hubspace app or voice commands.
The Home Depot|HD|2021-10-05|12-Foot Giant-Sized Skeleton|A towering Halloween decoration featuring LCD technology that makes its eyes appear to move and blink.
The Home Depot|HD|2024-01-08|Vissani 8.8 Cubic Foot Smart Chest Freezer|A convertible freezer that can switch between fridge and freezer settings, with notifications for temperature anomalies.
The Home Depot|HD|2024-01-08|Defiant Fingerprint Deadbolt|A smart deadbolt featuring fingerprint recognition for secure and convenient keyless entry.
Honeywell|HON|2021-10-12|Anthem Flight Deck|An advanced avionics system designed to enhance pilot situational awareness and streamline cockpit operations.
Honeywell|HON|2021-05-15|JetWave|Hardware enabling global in-flight Wi-Fi connectivity through Inmarsat’s GX Aviation network, catering to various aviation sectors.
Honeywell|HON|2023-03-20|S-Quad Detectors with Self-Test Feature|Fire detectors capable of self-testing both heat and smoke elements, enhancing reliability and maintenance efficiency.
Honeywell|HON|2025-01-06|Home X2S Smart Thermostat|An affordable, entry-level smart thermostat compatible with various smart home platforms, focusing on energy savings.
Honeywell|HON|2025-01-05|AllergenPlus HEPA Air Purifier|An air purifier designed to remove up to 99.97% of airborne particles, suitable for spaces up to 300 square feet.
Honeywell|HON|2020-03-03|Quantum Computer|A trapped-ion quantum computer with a quantum volume of at least 64, positioning Honeywell as a leader in quantum computing.
Honeywell|HON|2020-03-21|Forge|An analytics platform software for industrial and commercial applications, including aircraft, building, industrial, worker, and cyber-security.
Honeywell|HON|2020-05-06|Robotics Unloader|A robotic system developed to automate the unloading of packages from tractor-trailers, enhancing supply chain efficiency.
Honeywell|HON|2017-01-15|L-Series Notification Appliances|A series of fire alarm notification devices offering enhanced features such as a new 3000 hertz tone and more candela options.
Honeywell|HON|2023-10-01|LED L-Series Notification Appliances|An updated line of fire alarm notification devices using LED technology for lower current draw, replacing previous xenon models.
IBM|IBM|2023-12-04|IBM Quantum System Two|IBM's modular quantum computing system featuring the 156-qubit Heron processor, advancing quantum utility computing.
IBM|IBM|2023-09-07|Granite AI Models|A series of decoder-only AI foundation models designed for enterprise applications, initially integrated into IBM's Watsonx platform.
IBM|IBM|2023-05-09|IBM Watsonx|A cloud-based generative AI and data platform offering tools for building, deploying, and managing AI applications.
IBM|IBM|2024-07-22|IBM SkillsBuild Certificates|New certifications in cybersecurity and data analytics developed in collaboration with community colleges to address the global skills gap.
IBM|IBM|2021-05-06|IBM 2-Nanometer Chip Technology|Introduction of the world's first 2 nm chip technology, offering significant improvements in performance and energy efficiency over previous generations.
IBM|IBM|2023-12-04|IBM Heron Quantum Processor|A 156-qubit quantum processor designed to enhance quantum computing capabilities with reduced error rates.
IBM|IBM|2023-12-04|IBM Condor Quantum Processor|A 1,121-qubit quantum processor aimed at scaling quantum computing power for more complex computations.
IBM|IBM|2021-04-05|IBM Analog Hardware Acceleration Kit|An open-source toolkit for simulating training and inference on analog crossbar arrays within the PyTorch framework.
IBM|IBM|2022-11-10|IBM Health Guardian Platform|A platform developed to accelerate discoveries in digital health research by integrating AI with health data collection and analysis.
IBM|IBM|2024-10-01|IBM Quantum Data Center in Europe|Launch of IBM's first quantum data center in Europe, utilizing advanced processors like Eagle and Heron to enhance quantum research capabilities.
Intel|INTC|2021-07-29|Xeon W-3300 Processors|High-performance processors designed for workstations, offering enhanced computing capabilities for professionals.
Intel|INTC|2021-07-29|NUC 11 Extreme Kit|A compact form-factor PC kit providing high-end gaming and computing experiences.
Intel|INTC|2023-10-17|Core i9-14900KS Processor|A high-end desktop processor offering up to 6.2 GHz clock speed, delivering exceptional performance for gaming and content creation.
Intel|INTC|2024-08-28|Core Ultra 7 268V Processor|Part of the Arrow Lake series, this processor enhances gaming performance through AI integration and improved graphics capabilities.
Intel|INTC|2024-12-03|Arc B580 Graphics Card|A budget-friendly desktop GPU featuring Intel's Xe2 'Battlemage' architecture, offering up to 12GB of video memory and competitive performance.
Intel|INTC|2024-08-28|Core Ultra 200S Series Processors|The Arrow Lake series aims to enhance gaming experiences through AI integration, offering improved performance and graphics capabilities.
Intel|INTC|2024-12-14|Gaudi 3 AI Accelerator|An AI chip designed for generative AI software, competing with offerings from Nvidia and AMD, providing enhanced performance for AI workloads.
Intel|INTC|2024-06-04|Xeon 6 Processors|AI-focused data center processors offering improved performance and power efficiency for data-intensive applications.
Intel|INTC|2024-09-24|Lunar Lake Mobile Processors|Mobile processors designed for AI PCs, featuring integrated AI capabilities and improved battery life for laptops.
Intel|INTC|2023-12-14|Meteor Lake Mobile Processors|Intel's first generation of Core Ultra mobile processors, utilizing a chiplet architecture for enhanced performance and efficiency in mobile devices.
Johnson & Johnson|JNJ|2025-03-24|Spravato|A ketamine-derived nasal spray approved by the FDA for treatment-resistant depression.
Johnson & Johnson|JNJ|2025-03-24|Icotrokinra|An oral medication for moderate-to-severe plaque psoriasis, demonstrating significant efficacy in clinical trials.
Johnson & Johnson|JNJ|2025-03-24|Janssen COVID-19 Vaccine|A single-dose COVID-19 vaccine developed by Johnson & Johnson's Janssen division.
Johnson & Johnson|JNJ|2025-03-24|Caplyta|An oral treatment for schizophrenia and bipolar depression, acquired through the purchase of Intra-Cellular Therapies.
Johnson & Johnson|JNJ|2025-03-24|Abiomed Impella Heart Pumps|Mechanical circulatory support devices for patients with severe coronary artery disease, acquired through the purchase of Abiomed.
Johnson & Johnson|JNJ|2025-03-24|Velys Robotic-Assisted Surgery Platform|A robotic system designed to assist surgeons in knee replacement procedures, enhancing precision and patient outcomes.
Johnson & Johnson|JNJ|2025-03-24|Acuvue Oasys with Transitions Light Intelligent Technology|Contact lenses that adjust to varying light conditions, providing enhanced comfort and vision clarity.
Johnson & Johnson|JNJ|2025-03-24|MemoryGel Breast Implants|Silicone breast implants offering a natural look and feel, introduced by Johnson & Johnson's Mentor division.
Johnson & Johnson|JNJ|2025-03-24|Monarch Platform|A robotic system for minimally invasive surgery, enhancing precision in procedures such as prostatectomies.
Johnson & Johnson|JNJ|2025-03-24|Tecnis Symfony Extended Range of Vision Intraocular Lens|An intraocular lens implant that provides patients with improved vision at multiple distances after cataract surgery.
JPMorgan Chase|JPM|2021-09-21|Chase UK Digital Banking Services|App-based current and savings accounts launched in the UK.
JPMorgan Chase|JPM|2019-02-14|JPM Coin|A digital token for efficient client transactions.
JPMorgan Chase|JPM|2024-12-23|Self-Directed Investing Platform|Enhanced features like fractional shares and trust accounts.
JPMorgan Chase|JPM|2023-05-11|Chase Sapphire Lounge by The Club|Premium travel lounge at Boston Logan Airport.
JPMorgan Chase|JPM|2023-01-15|AI Initiatives|Expanded AI and machine learning efforts delivering significant business value.
JPMorgan Chase|JPM|2024-11-05|Active ETFs in Europe|Launched JPMorgan US Equity Premium Income Active ETF.
JPMorgan Chase|JPM|2021-09-21|Enhanced Digital Banking Features|Expanded digital banking services with increased customer engagement.
JPMorgan Chase|JPM|2021-01-01|Direct Lending Program|Allocated $50 billion for lending to private equity-backed companies.
JPMorgan Chase|JPM|2023-05-01|Virtual Call Center in Baltimore|Created jobs and career opportunities in customer service operations.
JPMorgan Chase|JPM|2023-10-01|Blockchain Settlement System|Conducted first transaction using blockchain-based settlement system.
McDonald's|MCD|2021-01-01|McPlant|A plant-based burger developed with Beyond Meat, featuring a patty made from potatoes, peas, and rice.
McDonald's|MCD|2024-10-10|Chicken Big Mac|A variant of the Big Mac with tempura-battered chicken patties, Big Mac sauce, lettuce, cheese, and pickles on a sesame seed bun.
McDonald's|MCD|2023-06-12|Grimace Shake|A berry-flavored milkshake introduced to celebrate Grimace's birthday, available in various markets.
McDonald's|MCD|2025-02-10|Oreo Shamrock McFlurry|A limited-time dessert combining vanilla soft serve with Shamrock Shake syrup and Oreo cookie pieces.
McDonald's|MCD|2024-10-30|Dulce de Leche Frappé|A coffee-based beverage blended with dulce de leche flavored syrup, topped with whipped cream and caramel pieces.
McDonald's|MCD|2024-10-15|Boo Buckets|Halloween-themed Happy Meal pails featuring new monster designs, available for a limited time.
McDonald's|MCD|2024-09-17|Crocs Happy Meal|A collaboration offering exclusive Crocs Jibbitz charms and stickers within Happy Meals, with a digital customization experience.
McDonald's|MCD|2024-07-10|Smoky BLT Quarter Pounder with Cheese|A burger featuring a beef patty, smoky BLT sauce, lettuce, tomato, bacon, and American cheese on a toasted sesame seed bun.
McDonald's|MCD|2024-09-10|Mini McFlurry|A smaller-sized McFlurry dessert providing a lower-priced option and aiming to reduce food waste.
McDonald's|MCD|2025-03-01|Snack Wrap|The return of the popular Snack Wrap, featuring grilled or crispy chicken, lettuce, and cheese, wrapped in a soft flour tortilla.
Merck & Co.|MRK|2021-10-01|Molnupiravir (Lagevrio)|An oral antiviral medication developed to treat COVID-19.
Merck & Co.|MRK|2021-07-16|Vaxneuvance|A pneumococcal 15-valent conjugate vaccine for adults.
Merck & Co.|MRK|2024-03-26|Winrevair (Sotatercept)|A treatment for pulmonary arterial hypertension.
Merck & Co.|MRK|2021-08-13|Welireg (Belzutifan)|A therapy for cancers associated with von Hippel-Lindau disease.
Merck & Co.|MRK|2025-03-05|Keytruda Subcutaneous Formulation|An injectable version of Merck's cancer immunotherapy.
Merck & Co.|MRK|2025-02-11|BRAVECTO� Injectable Formulation|An injectable parasiticide for dogs, offering extended protection.
Merck & Co.|MRK|2025-01-15|LM-299|A cancer drug licensed from LaNova Medicines, enhancing treatment options.
Merck & Co.|MRK|2025-01-10|HS-10535|An experimental GLP-1 obesity pill licensed from Hansoh Pharma.
Merck & Co.|MRK|2025-02-20|Modifi Biosciences Acquisition|Acquisition of New Haven-based cancer startup to bolster oncology pipeline.
Merck & Co.|MRK|2025-01-08|Harpoon Therapeutics Acquisition|Expansion of oncology portfolio through acquisition of Harpoon Therapeutics.
Microsoft|MSFT|2021-10-05|Windows 11|The latest operating system from Microsoft, featuring a redesigned interface and enhanced performance.
Microsoft|MSFT|2021-10-05|Surface Laptop Studio|A versatile 2-in-1 device designed for productivity and creativity, featuring a unique fold-over screen design.
Microsoft|MSFT|2021-07-14|Windows 365|A cloud service providing a full, personalized PC experience from the cloud to any device, supporting hybrid work environments.
Microsoft|MSFT|2023-03-16|Microsoft Copilot|An AI-powered assistant integrated across Microsoft's products, enhancing productivity through advanced AI capabilities.
Microsoft|MSFT|2023-10-03|Surface Laptop Studio 2|An updated version of Microsoft's 2-in-1 convertible laptop, featuring enhanced performance and updated hardware.
Microsoft|MSFT|2022-10-24|Windows Dev Kit 2023|An ARM-based compact desktop designed for software developers, featuring a Qualcomm Snapdragon 8cx Gen 3 processor.
Microsoft|MSFT|2023-05-23|Microsoft Edge with Bing Chat|Integration of Bing Chat, powered by OpenAI's GPT-4, into the Edge browser, offering AI-assisted search and browsing.
Microsoft|MSFT|2024-11-20|Copilot Vision|An AI feature that allows Microsoft's Copilot assistant to interpret and interact with content visible in a user's web browser.
